route_id,route_short_name,route_long_name,route_type
8__634___,634,COLMENAREJO - GALAPAGAR - EST. LA NAVATA,mode_3
8__635___,635,MADRID (Moncloa)-TORRELODONES (Colonia)-LA NAVATA-GALAPAGAR,mode_3
9__1__152_,1,FFCC-PUEBLO-ÁREA HOMOGÉNEA SUR,mode_3
9__2__152_,2,FFCC-AVENIDA DEHESA-LOS ROBLES,mode_3
9__4__152_,4,FFCC-PUEBLO-LOS PEÑASCALES,mode_3
9__5__152_,5,FFCC-PUEBLO-LOS PEÑASCALES (Por Pº Joaquín Ruiz J.),mode_3
8__670___,670,COLLADO VILLALBA (Hospital)-MORALZARZAL,mode_3
8__671___,671,MADRID (Moncloa)-MORALZARZAL,mode_3
8__672___,672,MADRID (Moncloa)-CERCEDA (Por Mataelpino),mode_3
8__672_A__,672A,MADRID (Moncloa)-CERCEDA (Directo),mode_3
8__673___,673,MADRID (Moncloa)-COLLADO VILLALBA (Hospital),mode_3
8__876___,876,MADRID (Plaza de Castilla)-MORALZARZAL-COLLADO VILLALBA,mode_3
9__1__047_,1,FFCC-PQUE. CORUÑA-LOS VALLES-PUEBLO-URBANIZACIONES,mode_3
9__2__047_,2,FFCC-PQUE. CORUÑA-CENTRO SALUD-LOS NEGRALES-FFCC,mode_3
9__3__047_,3,FF.CC. - EL GORRONAL - HOSPITAL,mode_3
9__4__047_,4,FFCC-PQUE. CORUÑA-PUEBLO,mode_3
9__6__047_,6,FFCC-CANTOS ALTOS-PUEBLO-ARROYO ARRIBA,mode_3
8__580___,580,MAJADAHONDA(Hospital)-BRUNETE,mode_3
8__581___,581,MADRID (Príncipe Pío)-BRUNETE-QUIJORNA,mode_3
8__620___,620,LAS MATAS-HOSPITAL PUERTA DE HIERRO,mode_3
8__621___,621,MADRID (Moncloa)-LAS ROZAS,mode_3
8__622___,622,MADRID (Moncloa)-LAS ROZAS-LAS MATAS,mode_3
8__623___,623,MADRID (Moncloa)-LAS ROZAS-URB.VILLAFRANCA DEL CASTILLO,mode_3
8__624___,624,MADRID (Moncloa)-COL.VERACRUZ-LAS ROZAS,mode_3
8__624_A__,624A,MADRID (Moncloa) - LAS ROZAS (La Marazuela),mode_3
8__625___,625,MADRID (Moncloa)-MONTE ROZAS,mode_3
8__626___,626,LAS ROZAS-MAJADAHONDA-VILLANUEVA DE LA CAÑADA,mode_3
8__626_A__,626A,MAJADAHONDA (Estación FFCC)-VILLANUEVA DEL PARDILLO,mode_3
8__627___,627,MADRID (Moncloa)-VILLANUEVA DE LA CAÑADA-BRUNETE,mode_3
8__628___,628,MADRID (Moncloa)-P.EMPRESARIAL-EL CANTIZAL,mode_3
8__629___,629,MADRID (Moncloa)-LAS ROZAS (Parque Empresarial),mode_3
9__1__127_,1,LAS ROZAS-URBANIZACIÓN MOLINO DE LA HOZ,mode_3
9__2__127_,2,LAS ROZAS - MONTE ROZAS - EL ENCINAR,mode_3
8__171___,171,MADRID (Plaza de Castilla)-URB. SANTO DOMINGO,mode_3
9__8__134_,8,CIRCULAR CIUDALCAMPO,mode_3
8__827___,827,MADRID (Canillejas)-ALCOBENDAS-UNIVERSIDAD AUTÓNOMA-TRES CANTOS,mode_3
8__827_A__,827A,ALCOBENDAS-S. S. DE LOS REYES-UNIV. AUTÓNOMA,mode_3
